Gene,Sample,Sample_Type,Expression
217092_x_at,GSM398123,Cancer,1946.69
217092_x_at,GSM398124,Normal,2379.85
217092_x_at,GSM398125,Cancer,6285.41
217092_x_at,GSM398126,Normal,3232.12
217092_x_at,GSM398127,Cancer,4811.62
217092_x_at,GSM398128,Normal,3934.64
217092_x_at,GSM398129,Cancer,4585.83
217092_x_at,GSM398130,Normal,2615.27
217092_x_at,GSM398131,Cancer,2541.12
217092_x_at,GSM398132,Normal,3783.89
217092_x_at,GSM398133,Cancer,1683.82
217092_x_at,GSM398134,Normal,2574.06
217092_x_at,GSM398135,Cancer,8833.39
217092_x_at,GSM398136,Normal,2617.43
217092_x_at,GSM398137,Cancer,5262.42
217092_x_at,GSM398138,Normal,2946.33
217092_x_at,GSM398139,Cancer,3901.06
217092_x_at,GSM398140,Normal,3883.96
217092_x_at,GSM398141,Cancer,3499.4
217092_x_at,GSM398142,Normal,3573.02
217092_x_at,GSM398143,Cancer,7169.59
217092_x_at,GSM398144,Normal,3543.67
217092_x_at,GSM398145,Cancer,6675.25
217092_x_at,GSM398146,Normal,6107.84
217092_x_at,GSM398147,Cancer,5922.75
217092_x_at,GSM398148,Normal,3500.56
217092_x_at,GSM398149,Cancer,8771.7
217092_x_at,GSM398150,Normal,3145.12
217092_x_at,GSM398151,Cancer,3893.63
217092_x_at,GSM398152,Normal,2349.84
217092_x_at,GSM398153,Cancer,2569.03
217092_x_at,GSM398154,Normal,1488.13
217092_x_at,GSM398155,Cancer,2637.66
217092_x_at,GSM398156,Normal,3746.09
217092_x_at,GSM398157,Cancer,661.261
217092_x_at,GSM398158,Normal,2999.16
217092_x_at,GSM398159,Cancer,4188.97
217703_x_at,GSM398074,Normal,2067.86
217703_x_at,GSM398075,Cancer,3113.53
217703_x_at,GSM398076,Normal,1384.56
217703_x_at,GSM398077,Cancer,2957.6
217703_x_at,GSM398078,Normal,2790.41
217703_x_at,GSM398079,Cancer,2403.47
217703_x_at,GSM398080,Normal,801.593
217703_x_at,GSM398081,Cancer,4042.99
217703_x_at,GSM398082,Normal,1119.21
217703_x_at,GSM398083,Cancer,1507.41
217703_x_at,GSM398084,Normal,1281.53
217703_x_at,GSM398085,Cancer,2016.58
217703_x_at,GSM398086,Normal,1531.73
217703_x_at,GSM398087,Cancer,600.051
217703_x_at,GSM398088,Normal,636.526
217703_x_at,GSM398089,Cancer,1412.7
217703_x_at,GSM398090,Normal,1837.89
217703_x_at,GSM398091,Cancer,1321.2
217703_x_at,GSM398092,Normal,651.763
217703_x_at,GSM398093,Cancer,1016.76
217703_x_at,GSM398094,Normal,2617.12
217703_x_at,GSM398095,Cancer,1672.22
217703_x_at,GSM398096,Normal,3497.36
217703_x_at,GSM398097,Cancer,1833.84
217703_x_at,GSM398098,Normal,2200.9
217703_x_at,GSM398099,Cancer,1625.69
217703_x_at,GSM398100,Normal,441.365
217703_x_at,GSM398101,Cancer,2289.12
217703_x_at,GSM398102,Normal,2205.05
217703_x_at,GSM398103,Cancer,2074.54
217703_x_at,GSM398104,Normal,2895.96
217703_x_at,GSM398105,Cancer,4141.26
217703_x_at,GSM398106,Normal,2135.04
217703_x_at,GSM398107,Cancer,1722.75
217703_x_at,GSM398108,Normal,4903.96
217703_x_at,GSM398109,Cancer,4061.36
217703_x_at,GSM398110,Normal,5381.03
217703_x_at,GSM398111,Cancer,2033.37
217703_x_at,GSM398112,Normal,1929.62
217703_x_at,GSM398113,Cancer,1252.17
217703_x_at,GSM398114,Normal,1290.87
217703_x_at,GSM398115,Cancer,1506.38
217703_x_at,GSM398116,Normal,1477.24
217703_x_at,GSM398117,Cancer,1984.69
217703_x_at,GSM398118,Normal,3288.96
217703_x_at,GSM398119,Cancer,2130.85
217703_x_at,GSM398120,Normal,1336.2
217703_x_at,GSM398121,Cancer,672.453
217703_x_at,GSM398122,Normal,1805.55
217703_x_at,GSM398123,Cancer,2110.79
217703_x_at,GSM398124,Normal,1254.11
217703_x_at,GSM398125,Cancer,2815.74
217703_x_at,GSM398126,Normal,3796.57
217703_x_at,GSM398127,Cancer,3149.02
217703_x_at,GSM398128,Normal,1819.78
217703_x_at,GSM398129,Cancer,942.626
217703_x_at,GSM398130,Normal,875.923
217703_x_at,GSM398131,Cancer,1556.56
217703_x_at,GSM398132,Normal,2973.35
217703_x_at,GSM398133,Cancer,3956.04
217703_x_at,GSM398134,Normal,634.466
217703_x_at,GSM398135,Cancer,1078.38
217703_x_at,GSM398136,Normal,2001.42
217703_x_at,GSM398137,Cancer,2303.29
217703_x_at,GSM398138,Normal,215.751
217703_x_at,GSM398139,Cancer,1137.69
217703_x_at,GSM398140,Normal,566.672
217703_x_at,GSM398141,Cancer,340.555
217703_x_at,GSM398142,Normal,2922.13
217703_x_at,GSM398143,Cancer,2693.57
217703_x_at,GSM398144,Normal,3139.15
217703_x_at,GSM398145,Cancer,5107.02
217703_x_at,GSM398146,Normal,1245.73
217703_x_at,GSM398147,Cancer,3755.15
217703_x_at,GSM398148,Normal,1685.61
217703_x_at,GSM398149,Cancer,7584.74
217703_x_at,GSM398150,Normal,1506.76
217703_x_at,GSM398151,Cancer,2415.45
217703_x_at,GSM398152,Normal,2554.63
217703_x_at,GSM398153,Cancer,2536.31
217703_x_at,GSM398154,Normal,3123.23
217703_x_at,GSM398155,Cancer,5529.99
217703_x_at,GSM398156,Normal,1385.3
217703_x_at,GSM398157,Cancer,6540.69
217703_x_at,GSM398158,Normal,4274.63
217703_x_at,GSM398159,Cancer,5520.06
221382_at,GSM398074,Normal,967.801
221382_at,GSM398075,Cancer,421.722
221382_at,GSM398076,Normal,1662.2
221382_at,GSM398077,Cancer,682.626
221382_at,GSM398078,Normal,2114.31
221382_at,GSM398079,Cancer,1445.39
221382_at,GSM398080,Normal,457.217
221382_at,GSM398081,Cancer,609.294
221382_at,GSM398082,Normal,566.875
221382_at,GSM398083,Cancer,1865.93
221382_at,GSM398084,Normal,1032.9
221382_at,GSM398085,Cancer,545.181
221382_at,GSM398086,Normal,496.813
221382_at,GSM398087,Cancer,1247.9
221382_at,GSM398088,Normal,1735.09
221382_at,GSM398089,Cancer,1985.65
221382_at,GSM398090,Normal,1847.66
221382_at,GSM398091,Cancer,6429.94
221382_at,GSM398092,Normal,3092.29
221382_at,GSM398093,Cancer,571.252
221382_at,GSM398094,Normal,1772.3
221382_at,GSM398095,Cancer,2381.94
221382_at,GSM398096,Normal,1600.35
221382_at,GSM398097,Cancer,2929.93
221382_at,GSM398098,Normal,2825.1
221382_at,GSM398099,Cancer,3068.0
221382_at,GSM398100,Normal,2025.83
221382_at,GSM398101,Cancer,2654.12
221382_at,GSM398102,Normal,1892.88
221382_at,GSM398103,Cancer,1659.0
